order,state,substate_region,small_area_estimate,95_ci_lower,95_ci_upper,map_group
1,Total United States,Total United States,0.0670515167,0.0650732357,0.0690854951,1
2,Northeast,Northeast,0.0659890409,0.0622391885,0.0699479666,2
3,Midwest,Midwest,0.0682793201,0.065300215,0.0713839573,2
4,South,South,0.0662116937,0.0632068265,0.069348838,2
5,West,West,0.0680907303,0.0639743763,0.072451445,2
6,Alabama,Alabama,0.0660723637,0.0560780304,0.0777012814,3
7,Alabama,Region 1,0.0684407958,0.0542254962,0.0860436275,4
8,Alabama,Region 2,0.0660446726,0.0532399619,0.0816633991,4
9,Alabama,Region 3,0.0612054452,0.0483351449,0.0772246569,4
10,Alabama,Region 4,0.067005474,0.0527178321,0.0848186501,4
11,Alaska,Alaska,0.0690954009,0.0592766448,0.080401559,3
12,Alaska,Anchorage,0.0735313545,0.0602928889,0.0894000425,4
13,Alaska,Northern,0.0644054962,0.0512558606,0.0806419118,4
14,Alaska,South Central,0.0667512009,0.053347484,0.0832265629,4
15,Alaska,Southeast,0.0672737034,0.0528212282,0.0853243176,4
16,Arizona,Arizona,0.071151236,0.0603166817,0.0837585048,3
17,Arizona,Maricopa,0.070304993,0.0574065681,0.0858375918,4
18,Arizona,Pima,0.0750994557,0.0580408763,0.0966571964,4
19,Arizona,Rural North,0.0708443986,0.054663248,0.0913525469,4
20,Arizona,Rural South,0.0705403457,0.0546421414,0.0906207497,4
21,Arkansas,Arkansas,0.0717054738,0.0613725807,0.0836230579,3
22,Arkansas,Catchment Area 1,0.0709919432,0.0560878225,0.0894810676,4
23,Arkansas,Catchment Area 2,0.0763200205,0.0595510574,0.0973222982,4
24,Arkansas,Catchment Area 3,0.0722233222,0.0570794844,0.0909972489,4
25,Arkansas,Catchment Area 4,0.0688948986,0.0536515702,0.0880660896,4
26,Arkansas,Catchment Area 5,0.0700320902,0.0549822174,0.0888142962,4
27,Arkansas,Catchment Area 6,0.0703530007,0.054194629,0.090866214,4
28,Arkansas,Catchment Area 7,0.0704645189,0.0546735078,0.0903803013,4
29,Arkansas,Catchment Area 8,0.0725566731,0.0574053236,0.0913195875,4
30,California,California,0.0646168319,0.0585791485,0.0712297279,3
31,California,Region 1R,0.0688520732,0.0550662832,0.0857758361,4
32,California,Region 2R,0.0721199113,0.0577932328,0.0896601464,4
33,California,Region 3R (Sacramento),0.0669122906,0.054039184,0.0825842821,4
34,California,Region 4R,0.0634546146,0.0512622551,0.0783074886,4
35,California,Region 5R (San Francisco),0.0674602353,0.0536661934,0.0844832908,4
36,California,Region 6 (Santa Clara),0.0591874928,0.047252102,0.0739037877,4
37,California,Region 7R (Contra Costa),0.0646392506,0.0513455354,0.0810806304,4
38,California,Region 8R (Alameda),0.0636359011,0.0512508457,0.0787654018,4
39,California,Region 9R (San Mateo),0.0599311656,0.0477621109,0.07495665,4
40,California,Region 10,0.064601696,0.0519580376,0.080062276,4
41,California,Region 11 (Los Angeles),0.0650865083,0.0577313758,0.0733058036,5
42,California,LA SPA 1 and 5,0.0675940614,0.054392463,0.083716151,4
43,California,LA SPA 2,0.0650293201,0.0530950097,0.0794211442,4
44,California,LA SPA 3,0.0615139564,0.0493965297,0.0763651081,4
45,California,LA SPA 4,0.0674965821,0.0541898121,0.0837814941,4
46,California,LA SPA 6,0.0626104552,0.0508735012,0.0768360157,4
47,California,LA SPA 7,0.0660444676,0.0531695056,0.0817678535,4
48,California,LA SPA 8,0.0663765996,0.0531450379,0.0826150017,4
49,California,Region 12R,0.0659277508,0.0526517366,0.0822606084,4
50,California,Regions 13 and 19R,0.0630269842,0.0516409942,0.0767203096,4
51,California,Region 14 (Orange),0.0626226158,0.0514751647,0.0759907526,4
52,California,Region 15R (Fresno),0.0643446266,0.0520958429,0.0792326209,4
53,California,Region 16R (San Diego),0.064764254,0.0535017417,0.0782017244,4
54,California,Region 17R,0.063214496,0.050942953,0.0781985375,4
55,California,Region 18R (San Bernardino),0.0643400445,0.0521029981,0.079210948,4
56,California,Region 20R,0.0658186815,0.0531118591,0.0813045309,4
57,California,Region 21R,0.0685640707,0.0551719398,0.0849147794,4
58,Colorado,Colorado,0.0629672717,0.0532065471,0.0743779326,3
59,Colorado,Region 1,0.0660392531,0.0518161881,0.083821288,4
60,Colorado,Regions 2 and 7,0.0631342782,0.0509559705,0.0779839958,4
61,Colorado,Region 3,0.0614532153,0.0483717834,0.0777831676,4
62,Colorado,Region 4,0.0615963942,0.047254648,0.0799257004,4
63,Colorado,Regions 5 and 6,0.0610721448,0.0470694117,0.0788956785,4
64,Connecticut,Connecticut,0.062442668,0.0527810988,0.073735115,3
65,Connecticut,Eastern,0.0653572181,0.0513157996,0.0829049954,4
66,Connecticut,North Central,0.0646528478,0.0512602874,0.0812447898,4
67,Connecticut,Northwestern,0.0657298969,0.051129952,0.0841291656,4
68,Connecticut,South Central,0.0603446707,0.0475040572,0.0763778537,4
69,Connecticut,Southwest,0.0568729673,0.0438435037,0.0734769851,4
70,Delaware,Delaware,0.0692050961,0.0590964522,0.0808941962,3
71,Delaware,Kent,0.0679847793,0.0539872594,0.085284322,4
72,Delaware,New Castle (excluding Wilmington City),0.0710159896,0.0584878244,0.0859826311,4
73,Delaware,Sussex,0.0674249317,0.0525934433,0.0860590134,4
74,Delaware,Wilmington City,0.0654077701,0.0504635367,0.0843842814,4
75,District of Columbia,District of Columbia,0.0658886705,0.0566843922,0.0764663661,3
76,District of Columbia,Ward 1,0.0734432487,0.0585282338,0.0917885603,4
77,District of Columbia,Ward 2,0.0763910784,0.0605593453,0.095938954,4
78,District of Columbia,Ward 3,0.0756275903,0.0598368866,0.0951635993,4
79,District of Columbia,Ward 4,0.0580780651,0.0449242597,0.0747817353,4
80,District of Columbia,Ward 5,0.0594657259,0.0468979588,0.0751359137,4
81,District of Columbia,Ward 6,0.0715280926,0.0566627432,0.0899215857,4
82,District of Columbia,Ward 7,0.0519416727,0.0398834307,0.0673896839,4
83,District of Columbia,Ward 8,0.0550864281,0.0430968676,0.0701669053,4
84,Florida,Florida,0.0591017827,0.0528664299,0.0660213025,3
85,Florida,Broward (Circuit 17),0.0538998823,0.0428288168,0.0676305636,4
86,Florida,Central I,0.0635680581,0.0536107519,0.0752277606,5
87,Florida,Circuit 9,0.0650880125,0.0526592241,0.0802019323,4
88,Florida,Circuit 18,0.0613759941,0.048848357,0.0768568558,4
89,Florida,Central II,0.0599455404,0.0523370069,0.068580125,5
90,Florida,Circuit 6,0.0579088083,0.045895389,0.0728267923,4
91,Florida,Circuit 10,0.0599289688,0.0469885186,0.0761484133,4
92,Florida,Circuit 12,0.0601240006,0.0469736702,0.0766596517,4
93,Florida,Circuit 13 (Hillsborough),0.0620133813,0.0504272449,0.0760483488,4
94,Florida,Circuit 20,0.0601326989,0.0470266812,0.0765976912,4
95,Florida,Northeast,0.0608370479,0.052578936,0.070295953,5
96,Florida,Circuit 4,0.0581812888,0.0468712422,0.0720142532,4
97,Florida,Circuit 5,0.0615917499,0.0483036461,0.0782348456,4
98,Florida,Circuit 7,0.0621238531,0.0490908312,0.0783319551,4
99,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",0.0626336137,0.0507219833,0.0771153456,4
100,Florida,Northwest,0.0660983969,0.0557831252,0.0781632394,5
101,Florida,Circuit 1,0.0681321317,0.0533582356,0.0866223317,4
102,Florida,Circuit 2 plus Madison and Taylor,0.0646116979,0.051988961,0.080040434,4
103,Florida,Circuit 14,0.0635512455,0.0495338266,0.0811965373,4
104,Florida,South (Circuits 11 and 16),0.0518994618,0.0414435871,0.0648148978,4
105,Florida,Southeast,0.0574392295,0.047539578,0.0692505006,5
106,Florida,Circuit 15 (Palm Beach),0.0548516322,0.043250979,0.0693382807,4
107,Florida,Circuit 19,0.0631254083,0.0493392454,0.0804377093,4
108,Georgia,Georgia,0.0663955575,0.0566918581,0.0776235206,3
109,Georgia,Region 1,0.0665477393,0.0525973708,0.0838706019,4
110,Georgia,Region 2,0.0683645942,0.0536749244,0.0867061586,4
111,Georgia,Region 3,0.0642407886,0.0514239817,0.0799826796,4
112,Georgia,Region 4,0.0667366948,0.0516119675,0.0858922625,4
113,Georgia,Region 5,0.0699794604,0.0543341924,0.0897023818,4
114,Georgia,Region 6,0.0658094953,0.0514722932,0.0837874481,4
115,Hawaii,Hawaii,0.0630191014,0.0525471913,0.0754118091,3
116,Hawaii,Hawaii Island,0.0682481227,0.0525413515,0.0882131289,4
117,Hawaii,Honolulu,0.0616633111,0.0501578424,0.0755979117,4
118,Hawaii,Kauai,0.0639012698,0.0481498647,0.0843488587,4
119,Hawaii,Maui,0.064899481,0.0499202427,0.0839761589,4
120,Idaho,Idaho,0.0738359548,0.0636592911,0.085490937,3
121,Idaho,Region 1,0.0692052272,0.0543672031,0.0877172345,4
122,Idaho,Region 2,0.0802239042,0.0626189012,0.1022386284,4
123,Idaho,Region 3,0.0725068447,0.0576627685,0.0908039968,4
124,Idaho,Region 4,0.0742388242,0.0595784196,0.0921531994,4
125,Idaho,Region 5,0.0766500304,0.0603959949,0.0968276392,4
126,Idaho,Region 6,0.0748603189,0.059211347,0.0942309037,4
127,Idaho,Region 7,0.0730717294,0.0585104595,0.0909069036,4
128,Illinois,Illinois,0.0576747373,0.051710184,0.0642806411,3
129,Illinois,Region I (Cook),0.0532141242,0.0450131194,0.0628110089,4
130,Illinois,Region II,0.0588701886,0.0502744601,0.0688290703,4
131,Illinois,Region III,0.0643670229,0.0527394502,0.0783461233,4
132,Illinois,Region IV,0.0639889355,0.0514546228,0.079321265,4
133,Illinois,Region V,0.0602158074,0.0486621477,0.0742983705,4
134,Indiana,Indiana,0.0738570695,0.0637194661,0.0854603229,3
135,Indiana,Central,0.0729303936,0.0581869923,0.0910483322,4
136,Indiana,East,0.0741919273,0.0592553525,0.0925232841,4
137,Indiana,North Central,0.0733674963,0.0584044762,0.0917902877,4
138,Indiana,Northeast,0.070810232,0.0557032597,0.0896254192,4
139,Indiana,Northwest,0.0738707736,0.0578928182,0.09381937,4
140,Indiana,Southeast,0.0773905265,0.0600199456,0.0992575301,4
141,Indiana,Southwest,0.0745356237,0.0583474793,0.0947630865,4
142,Indiana,West,0.0751120424,0.0599556602,0.0937178796,4
143,Iowa,Iowa,0.0699480838,0.0600663895,0.0813148056,3
144,Iowa,Central,0.0659328206,0.052473912,0.0825430502,4
145,Iowa,North Central,0.0702321027,0.0553808826,0.0886919702,4
146,Iowa,Northeast,0.0700584315,0.0561930365,0.0870295787,4
147,Iowa,Northwest,0.0661410329,0.0517794161,0.0841325784,4
148,Iowa,Southeast,0.0771419106,0.060923186,0.0972312691,4
149,Iowa,Southwest,0.06703163,0.0522720739,0.0855823606,4
150,Kansas,Kansas,0.069062022,0.0589121196,0.0808104787,3
151,Kansas,Kansas City Metro,0.0706765456,0.0566362224,0.087873297,4
152,Kansas,Northeast,0.0701423862,0.0549015713,0.0892147054,4
153,Kansas,South Central,0.0658597061,0.0515393022,0.0838075029,4
154,Kansas,Southeast,0.0679851282,0.0526350013,0.0873988771,4
155,Kansas,West,0.0684207495,0.0533092156,0.0874203751,4
156,Kansas,Wichita (Sedgwick),0.0678129397,0.0536381985,0.0853955664,4
157,Kentucky,Kentucky,0.0700642482,0.0597850929,0.0819566948,3
158,Kentucky,"Adanta, Cumberland River, and Lifeskills",0.0702777644,0.0551641179,0.089141522,4
159,Kentucky,"Bluegrass, Comprehend, and North Key",0.0720372918,0.0578157303,0.0894250589,4
160,Kentucky,Communicare and River Valley,0.0690933515,0.0538179373,0.0882998459,4
161,Kentucky,Four Rivers and Pennyroyal,0.0676986371,0.0522087117,0.0873607019,4
